Tweet ID,Text,Likes,Retweets,Total Interactions
1279878679984734208,Se me callan porque si quieren saber de lugares malvibrosos voy a contar la historia de la primera persona que hizo… https://t.co/kbouuFIZa5,1474,426,1900
1279878735613870092,"Esta historia fue publicada en el año 1865 por Lewis Carroll, que es sabido que solo era el seudónimo que el matemá… https://t.co/BltsMVwmgA",181,10,191
1279878745978011649,"La adaptación de Disney es casi exactikmente igual a la historia de Carroll, igual la voy a contar jejeps, pero ten… https://t.co/gqMepkhylN",129,9,138
1279878754370818048,"Ajá bueno como dije hace dos tweets Charles Lutwidge Dodgson fue un matemático (fotógrafo, profesor, lógico y escri… https://t.co/wWg0LnR5kT",140,8,148
1279878764869095425,"Y digo de adultos porque al parecer el, “amaba a los niños.“ De hecho establecía amistades con los hijos de sus col… https://t.co/VGAokstNeN",163,13,176
1279878781788925952,"Por otro lado, Charles también era fotógrafo infantil. ( HOW CONVENIENT 👏🏻) Por lo que el decano de la universidad… https://t.co/HZI4XP0EaJ",116,11,127
1279878793948168192,"Y cualquier motivo era bueno para estar todo el santo día con las niñas del Decano, a las que siempre maravillaba c… https://t.co/pAJH15lNRc",157,13,170
1279878816203186176,"Según el instituto Smithsoniano Charles tomó más de 1.500 fotos de niños entre ellas, se incluyen 30 desnudos o sem… https://t.co/QVMbVUvDSV",135,10,145
1279878831508242433,Un minuto de silencio para que se recuperen de lo que acaban de enterarse. https://t.co/WmBSmCGFNA,199,5,204
1279878848688132100,"Ok, bueno un día como ayer, el 4 de julio de 1862 Charles se llevó a las niñas en un viaje en bote a lo largo río T… https://t.co/x4KF6hTX4V",107,8,115
1279878864370651141,"A Alicia le gustó tanto la historia que le rogó que la escribiera para poder leerla muchas veces, y así después de… https://t.co/estgTjCqPp",113,7,120
1279878884834578433,Ajá empecemos con Alicia en el país de las maravillas ahora si: https://t.co/BMckeG0Kld,98,6,104
1279878906653347842,"Nuestra historia comienza con Alicia y su hermana sentadas bajo una matica de mango, y Alicia, que lo más que leía… https://t.co/27bEp2IZVf",140,6,146
1279878920112832512,En eso Alicia nota un conejo blanco vestido con chaqueta y un chalequito Columbia que iba caminando rapidísimo mien… https://t.co/ggWFRjiQ79,232,9,241
1279878934910373894,Siguió como una acosadora al conejito dirigente hasta que se metió en su madriguera y Alicia como: “Pa’lante marica… https://t.co/N1pKBeDktL,282,9,291
1279878955529617408,"Bueno cuando al fin cae, Alicia llega al sitio más extraño que había visto en su vida pero no vio rastro del Coneji… https://t.co/mH3pDuwW8A",198,12,210
1279878975125405703,"La caña clara hizo que Alicia se encogiera hasta medir 25cm, y enseguida intento abrir una puerta que estaba en el… https://t.co/xTbEkkC9va",124,6,130
1279878990900183040,Por arte de magia aparece junto a ella una bandeja de tequeños con una etiqueta que decía “CÓMEME” y bueno uno te m… https://t.co/oZqyw2ren3,184,5,189
1279879006930821121,"De la frustración Alicia empieza a llorar como la Rosalía en el video de Bagdad e inunda toda esa vaina, aquí otra… https://t.co/tq8rPUdYuX",131,6,137
1279879058826964993,Pero resulta que el pasaporte europeo era mágico (sabemos) y a medida que Alicia se echaba aire se encogía cada vez… https://t.co/tppD8hJbrk,165,5,170
1279879090435170304,Total que empieza a nadar y se encuentra con un ratón relajado como qn dise nadando con ella y se ofrece a guiarla… https://t.co/xz6KipVwFF,122,5,127
1279879109171126272,"Alicia y los animales llegan a la orilla y el Dodo (si, el pájaro, extinto) organiza una carrera y que para secarse… https://t.co/hb9hEn1HYY",228,11,239
1279879120407715840,"El Dodo declara a todos los animales ganadores de la carrera y decide que Alicia es la que va a dar los premios, as… https://t.co/1ujMUYTDrq",132,6,138
1279879132793450496,"Tras quedarse sola Alicia ve pasar de nuevo al conejito italiano, que estaba súper estresado porque estaba buscando… https://t.co/cAdkeQbvyn",119,7,126
1279879143916736513,"Bueno Alicia se hace la pendeja y pretende ser la community manager del conejito y llega a su casa, ahí encuentra m… https://t.co/gPTKbQzGt7",141,7,148
1279879549174628352,Esa bebida obviamente también tenía un efecto mágico y la caraja creció hasta quedarse atorada en la casa del conej… https://t.co/fkxnF0rpQF,173,6,179
1279880035541946370,"Una multitud se acumula alrededor de la casa y empieza a proponer soluciones, al final la turba decide arrojarle pa… https://t.co/9QsgUQxAk6",113,5,118
1279880563567079439,Corriendo como una loca fue a parar a un hongo gigante donde estaba una oruga con mocasines sin medias y una camisa… https://t.co/CqnRCybs9v,130,6,136
1279881078824734723,"Bueno aquí la jeva se vuelve un culo porque como cambio tantas veces de tamaño, ahora tenía una crisis de identidad… https://t.co/3aQRVdfQ6L",120,7,127
1279881468748140546,No sin antes decirle que podía cambiar su estatura comiendo una parte del hongo y Alicia pensó algo como: “Bueno ig… https://t.co/LuwYC1BtBo,118,6,124
1279881962946207747,"Sabemos que un cuento de hadas no estaría completo sin al menos una forma de invasión a la propiedad privada, Así q… https://t.co/w9yMt7Aoh2",139,8,147
1279882352165085191,Dentro de la casa Alicia se encuentra a la duquesa sosteniendo a un bebé mientras está cocinando un mondongo  que t… https://t.co/fFLJIH27Pq,130,5,135
1279882826729521152,En eso la duquesa exclama que se le hace tarde para el juego de bolas criollas de la Reina y le encasqueta el bebé… https://t.co/HgtiSQGSxz,140,5,145
1279883347649576961,Alicia sigue paseando hasta que llega a una casa donde ve al sombrerero teniendo una fiesta del té con una liebre y… https://t.co/P9LiesytgI,148,6,154
1279883693599965186,"El sombrero y la liebre resultaron ser Magazolanos y la sacan de quicio con acertijos, conspiraciones locas sin sen… https://t.co/Aa9o2JrDoR",137,8,145
1279884111763640322,"Al entrar llega a un hermoso jardín donde ve a un grupo de cartas pintando un rosal blanco de rojo, cuando Alicia l… https://t.co/2wCimR46a5",90,6,96
1279884600760729600,"Al final la Reina corazón del pueblo igual se dio cuenta del engaño, sacó su pito y dijo “ME LES CORTAN LA CABEZAAA… https://t.co/vVugbJfZwE",110,6,116
1279884954797854721,"En el camino Alicia se dio cuenta que el conejito era parte del staff de la Reina roja rojita y mira, canceladito.… https://t.co/ht8dJDjHr1",98,7,105
1279885325322670085,Aquello era un despelote y el único objetivo es que la Reina ganara para que no los matara a todos. En eso a la Rei… https://t.co/Iu5Ccp0SUW,98,5,103
1279885646681845767,"La Reina forma un juicio donde ella misma iba a ser juez, abogado y verdugo, formó un grupo de testigos jalabolas q… https://t.co/vqFlkK5M6I",92,4,96
1279886031882518532,"Mientras hacían el juicio, Alicia, inoportuna como siempre, empezó a crecer a su altura original justo cuando la ll… https://t.co/sLfJCUN5B6",106,4,110
1279886415107670018,"Pero igual decidió que le iba a cortar la cabeza porque le daba la gana jeje ☺️, a Alicia toda esta situación le pa… https://t.co/fiXHgj8rzN",85,4,89
1279886867283001345,Ella despertó debajo de la matica de mango bañada en sudor y la hermana le dijo “chachaa echaste tu camarónsito” y… https://t.co/apf3GODkBn,152,7,159
1279887396058824704,Y así termina la historia de Alicia en el país de las maravillas y recuerden mis simbas no vayan al sótano de Parqu… https://t.co/41F4QYpy7l,244,9,253
