Tweet ID,Text,Likes,Retweets,Total Interactions
1274428707340509184,Ajá se me callan porque ayer escribí  este hilo y se me borró todo 🤡 pero el mundo no se puede acabar sin que yo cu… https://t.co/lsATQcOV41,1873,618,2491
1274428719340322824,"Como ustedes ya saben los autores antes escribían, re-escribían, publicaban y re-publicaban las historias como si f… https://t.co/GHDSHjYZVL",198,19,217
1274428730539159557,"De todas las adaptaciones de Disney esta quizás es la más fiel a la original, incluso en mi opinión muy mia propia… https://t.co/E7gIMpRqf7",266,11,277
1274428808423247873,"En la película Bella vivía con su padre, que era un viejito loco y ya, pero en la versión original Bella era hija d… https://t.co/PCySt3wMuS",206,10,216
1274428939910422534,"Durante La Cuarta ™ los hermanos mayores de Bella se acostumbraron a un estilo de vida bastante ostentoso de joyas,… https://t.co/mI65ATcP4J",214,13,227
1274428959388774402,Pero luego llegó la ideología política la cual no voy a mencionar que empieza por “CH” y al padre de Bella le expro… https://t.co/tiiii7i2FN,180,11,191
1274429008915181574,Las hermanas de Bella que eran un poco malcriadas estaban 0 contentas con este cambio y estaban haciendo todo lo po… https://t.co/u1wRrWLZtL,162,12,174
1274429029198843904,"Un día, le llega el chisme al papá de Bella que uno de sus barcos con mercancía que había dado por perdido había ll… https://t.co/WMoaDfyCSL",146,10,156
1274429042184388609,"Mientras los demás ya estaban pidiendo créditos para apartamentos en el Brickell, Bella, que ya había tenido sufici… https://t.co/mQHEGO0Iwb",148,10,158
1274429072924344320,Así que el padre de Bella luego de 6 meses llegó al puerto solo para enterarse que aduana le había tomado el barco… https://t.co/RzWYlksB0i,149,12,161
1274429101441462273,"Muy decepcionado emprende el viaje de regreso a la casita del campo, pero como los hombres prefieren morirse antes… https://t.co/wqcYftQJul",245,12,257
1274429266248245249,Que no sé cuál era esa mala costumbre de los personajes de cuentos de hadas de meterse como Pedro por su casa en pr… https://t.co/FCtQQDsD56,363,22,385
1274429326008766464,"Pero me desvío, bueno el carajo entra al palacio, súper lujoso por cierto, y se sienta en un sofá a esperar que alg… https://t.co/JdU5rzaVek",181,11,192
1274429343637307395,Al señor le pareció un poco rara la cosa pero igual se jartó la vaina y luego fue a explorar el palacio en búsqueda… https://t.co/J6VP6aCZTV,137,11,148
1274429402558930944,Bueno a la mañana siguiente el viejo se despierta y ve otra vez la comidita servida y piensa: “Coño que manguangua… https://t.co/SbvLI7IoqE,160,11,171
1274429508419026945,"Cuando iba saliendo vio en el jardín un hermoso rosal y se acordó del regalo de Bella, así que hizo lo que hacen to… https://t.co/jCgRSePRGY",312,22,334
1274429530439135235,"En eso escuchó un rugido terrible y al darse la vuelta vio una bestia gigante, peluda y arrecha que le dijo: “NOJOD… https://t.co/TF9ATjJpH1",263,21,284
1274429542065635328,"El señor, un poco aliviado que la bestia no se enteró de sus planes de invadirle el palacio si se puso así por una… https://t.co/vtwifMWWIz",124,10,134
1274429590665080834,"La Bestia le dijo algo como: “PERDÓN NADA CHICO, ahora debes traerme a una de tus hijas” y le dio un caballo mágico… https://t.co/OGnE7sivkk",167,10,177
1274429674635046913,"Otro detalle importante es que la bestia le dijo que no podía mentirle a sus hijas, es decir, la que viniera tendrí… https://t.co/ItV1pqveWx",152,11,163
1274429719430287362,De esta forma el papá de Bella regresa a la casita del campo con las malas noticias que no solo no había recuperado… https://t.co/bxg8MuV4W2,149,12,161
1274429834563858443,Los hermanos de Bella estaban planeando la mejor forma de ir y matar a la bestia y las hermanas le echaban la culpa… https://t.co/dBfkQ9eQhF,173,16,189
1274429855493492736,Bella le dijo a sus hermanos “Qué van a estar matando ustedes ninguna bestia nada si usan mocasines sin medias??” Y… https://t.co/iwhzuMwocZ,226,12,238
1274429880944517121,"Su papá trato de convencerla de lo contrario pero ya la decisión estaba tomada, así que Bella recogió todos sus mac… https://t.co/jmYdz6YDpM",120,11,131
1274429959642234880,"Al llegar al palacio la bestia los recibió con unos traguitos y los invitó a pasar, Bella estaba aterrada pero hizo… https://t.co/UJlG3uu4ne",199,11,210
1274431849360699392,Aja bueno hicieron una visita ahí un rato bien incomoda y bien rara hasta que la bestia le dijo a Bella “Despídete… https://t.co/CVOfJzcMdw,138,12,150
1274431894873083904,"Y así Bella quedó en ese palacio encerrada sin mucho que hacer, como si estuviera en algún tipo de cuarentena, afor… https://t.co/YRYsZytFli",191,12,203
1274433802199236610,"Durante el día la bestia la dejaba hacer bastante lo que le daba la gana, pero todas las noches iba a la habitación… https://t.co/3MjepQ0LUA",291,15,306
1274433814773800967,"También durante todas las noches Bella empezó a soñar con un apuesto principe que le decía “Te puedo hacer feliz, n… https://t.co/Zao0kcjRCh",183,12,195
1274437254442881027,"A pesar de todos los lujos y comodidades del palacio Bella empezó a extrañar mucho a su padre y sus hermanos, y una… https://t.co/K8byXfV2yR",130,10,140
1274437268665761797,"Esto entristeció a la bestia pero quería hacerla feliz, así que le dio un anillo mágico y le dijo que para ir a su… https://t.co/EjJF6TaoxX",169,10,179
1274437283022864385,"Entonces Bella giró el anillo y a la mañana siguiente despertó en su casa, su papá ni sus hermanos no lo podían cre… https://t.co/Ny15a8XVwi",128,8,136
1274441627407388672,Aja bueno todos los días Bella pensaba en girar el anillo para regresar al palacio pero siempre lo postergaba un po… https://t.co/4l2m9d0Lmd,141,8,149
1274441644713140236,"Hasta que una noche Bella soñó de nuevo con el apuesto principe pero esta vez estaba herido de muerte en una cueva,… https://t.co/qtlB0cbuKd",149,9,158
1274441659032514560,"Cuando Bella regresó al palacio no encontró a la Bestia ni al principe en ninguna parte, salió a los jardines y enc… https://t.co/KB0mK45CJA",137,8,145
1274441672735285250,"Bella le dijo que no podía morir porque ella lo amaba, ahí se enteró que la bestia no comió ninguno de los días en… https://t.co/xvPMuhSbGx",162,9,171
1274441685276254212,"Luego BAIA BAIA QUE SORPRESA, no entró ella bestia al palacio sino el principe de los sueños de Bella *preteds to b… https://t.co/mTms9GPIZz",158,10,168
1274444068693606400,Bonus track: Quizás esta historia está basada en una pareja real que vivió dos siglos antes que se escribiera esta… https://t.co/NnijBNkwYj,166,11,177
1274444079112257537,"Petrus fue regalado como un animalito enjaulado a Henry II de Francia, pero el prefirió educarlo como una persona n… https://t.co/7WuddJOcqn",132,15,147
1274444083054940160,"Lo que me gustaría decir es que, dejemos de ser tan estupidos, y dejar de juzgar a las personas solo porque su apar… https://t.co/hO0vIUwVa3",560,35,595
