Tweet ID,Text,Likes,Retweets,Total Interactions
1299897978090598400,"Se me callan porque si creen que han tenido malas experiencias con servicios delivery, tienen que escuchar la histo… https://t.co/tYlGciX8lC",1329,402,1731
1299897998235893762,"Bueno, esta historia la han versionado más que Sola de Anuel, así que casi todos los autores que he mencionado en m… https://t.co/iBX2hyk3Ya",138,9,147
1299898002967011330,"La más conocida es la versión de Perrault que, si se acuerdan, fue el mismo señor que escribió la cenicienta y esta… https://t.co/CwMqVzZg0m",138,14,152
1299898014765658112,Pero esa no es la que voy a contar *PLOT TWIST* porque todos sabemos la historia del pobre lobo que se come a una n… https://t.co/JatE0gzT59,101,9,110
1299898032838897665,La Caperucita roja es casi tan vieja como JVR y su origen nos lleva a las historias del folclore francés del siglo… https://t.co/xLkjnOzV4o,112,8,120
1299898046323580933,"Ajá, suficiente preámbulo, voy pues. Érase una vez una aldea donde vivía una linda niñita que usaba una capa roja q… https://t.co/XexgjtZtQX",109,8,117
1299898064338145280,"Un día la mamá de Caperucita le dijo: “Mira Caperucita, hazme el favor y llévale estas empanadas de pabellón y este… https://t.co/noWTHOPxdn",179,10,189
1299898086865723392,"Pero bueno Caperucita no le iba a llevar la contraria a su mamá, así que agarro su morral de delivery y se fue cami… https://t.co/QpNOpFvGiK",122,9,131
1299898101646401539,Pero antes de salir su mamá que la conocía como si la hubiese parido le dijo categóricamente: “Vas DE👏🏻RE👏🏻CHI👏🏻TO… https://t.co/bSh8OD1Mhw,141,10,151
1299898114292277259,"¿Y que hizo Caperucita? Exacto, hacer cualquier vaina menos lo que le dijo su mamá. Y mientras estaba que si graban… https://t.co/GrK4CM0KdP",119,10,129
1299898125650362370,El hombre-lobo-ogro-viejo-verde obviamente se refería a la ropa que tenía puesta pero Caperucita pensó que la conoc… https://t.co/TjQMt3YBI4,133,9,142
1299898139344875520,"El le dijo algo como: “Conchale vale, y que hace una muchachita tan linda como tú tan solita en el bosque??” Y Cape… https://t.co/DYxEE0XB8f",116,9,125
1299898157711663104,Hay gente que nunca ha visto Investigation Discovery y se nota. https://t.co/ZLVMBnWrVB,168,13,181
1299898185507274752,"El hombre lobo quería matar y comerse a Caperucita en ese momento pero en el bosque podría tener testigos, así que… https://t.co/qGSWkFECEz",102,9,111
1299898199172411392,"Y todo esto se parece bastante al cuento que todos conocemos, pero agárrense que aquí la cosa se pone nasty. https://t.co/zdAnGW4rP8",93,7,100
1299898217245618177,El hombre lobo obviamente llegó primero a la casa de la abuelita porque Caperucita estaba muy ocupada tomándose sel… https://t.co/8kc2q68tVJ,108,9,117
1299898231690866688,"En serio gente, vean Investigation Discovery. https://t.co/KXYmNUuxqf",137,9,146
1299898255673896960,"Bueno el hombre lobo entró y no solo mató y se comió a la abuelita sin piedad, sino que apartó su sangre, sus dient… https://t.co/Tqjn4rm0aV",89,10,99
1299898271633154053,"En fin, Caperucita llega a la casa y le dijo “Abuelita soy yo Caperucita ábreme, traigo empanadas” y el, haciéndose… https://t.co/GkGYuQbLHM",103,10,113
1299898289253486592,Igual Caperucita entró y lo primero que dijo fue “ABUELA TENGO HAMBRE” y el hombre-lobo le dijo “En la nevera hay u… https://t.co/qax7E3WAIP,82,9,91
1299898302360625153,"SE COMIÓ LOS CACHETES, LOS DIENTES Y LA SANGRE DE SU ABUELA PENSANDO QUE ERA CARNE CON ARROZ Y VINO. https://t.co/Z1rBK5au2O",101,9,110
1299898317573423104,Cuando terminó de comer su abuelita hombre-lobo le dijo que se quitara toda la ropa y la arrojara al fuego porque y… https://t.co/0pZzqIGmiT,97,9,106
1299898341938126849,Y solo cuando Caperucita estaba metida en la cama con el hombre lobo fue que medio se dio cuenta que algo estaba ra… https://t.co/Ha1vyo3uHr,184,11,195
1299898355649306626,"Y esta es la parte donde ella empieza con la preguntadera inoportuna y que: “Abuela y por qué tan peluda, y por qué… https://t.co/xEiqZA4Al4",176,11,187
1299898366558699521,"En las otras versiones llega un leñador a salvar el día y saca a la abuelita y caperucita del estómago del lomo, pe… https://t.co/qLHFlklB1p",138,12,150
1299899108229083137,"Y bueno nada, eso fue el cuento del origen de Caperucita. Quiero cerrar con dos buenos consejos generales para la v… https://t.co/2TKvJlIxxL",264,15,279
