Tweet ID,Text,Likes,Retweets,Total Interactions
1295152820795170816,Se me callan porque voy a contar la primera historia de una mujer empoderada y un toyotero: La princesa y el sapo. https://t.co/JMCZKVvsVK,1013,254,1267
1295152845969391617,La historia súper linda de la Princesa y el sapo de Disney (aunque se tomaron muchas muchísimas licencias creativas… https://t.co/Q6wL48sp9e,159,9,168
1295153086625918976,"Hayas visto la película de Disney o no, cuando escuchas la Princesa y el sapo probablemente pienses en la receta tí… https://t.co/ycSbDVlmQB",76,5,81
1295153099170967552,"Para empezar, la bruja de este cuento nisiquiera era mala y el principe no era ningún caramelito, era un imbecil. U… https://t.co/uE4QkVXfvR",94,5,99
1295153110680326146,"Y no fue como “ay pero a lo mejor no la vio pues que sensible” no no, fue aproposito porque encima la insultó y se… https://t.co/cwiIiGVv8p",154,5,159
1295153131840589824,"Bueno, nada. Al otro lado de la historia estaba la princesa Anika, que tenía demasiado tiempo libre y le gustaba mu… https://t.co/JZVuOTX1kh",102,6,108
1295153147397263361,Un día la princesa lanzó la pelota de oro demasiado lejos y cayó en un pozo donde casualmente estaba el principe sa… https://t.co/8r4hPrYePG,86,4,90
1295153162647740422,La princesa fue al pozo y dijo algo como “coño de la madre por qué todo lo malo me tiene que pasar a mi?” En ese mo… https://t.co/tZRI2cwQPy,106,6,112
1295153186026803200,Y la princesa se quedó como “Si bueno el castillo está chevere y todo pero acabo de botar mi pelota de oro pues” aq… https://t.co/PTQkzcXE8k,86,7,93
1295153200287318016,"Cuando el sapo le devolvió su pelota le dijo que esperaba verla en el palacio esa misma noche para cenar, y la prin… https://t.co/0JTFiUr3T6",100,7,107
1295153223666475008,"Esa noche mientras la princesa y el rey se preparaban para cenar, alguien tocó la puerta y era nada más y nada meno… https://t.co/fMmN5TBgSK",87,6,93
1295153236991762432,"Pero cuando el rey le preguntó quien era y ella le contó lo que había pasado, la obligó a cumplir con su palabra. A… https://t.co/GZC61meVWu",124,8,132
1295153246244409345,"Cuando terminó la cena y la princesa pensó que por fin se había librado del sapo, entró a su habitación y lo encont… https://t.co/3uOL4HSmVC",103,7,110
1295153260106522624,"Esto lógicamente le dio demasiada arrechera a la princesa y agarró al principe sapo, y no le dio un beso como mucha… https://t.co/GR0BwBD9G9",135,10,145
1295153277852622848,"Ese golpe habría matado a cualquier sapo común, pero en ese momento el sapo volvió a su forma de principe. A pesar… https://t.co/P7CyNkl7ZQ",79,5,84
1295153292142686213,"Y en ese momento la princesa, que nunca fue una mujer superficial, le dijo: ¿te volviste loco wn? Vete a la mierda… https://t.co/SEIO4wWnSp",104,6,110
1295153354667184133,"Y así termina la verdadera historia de La princesa y el sapo, y recuerden niñitas a los sapos no se les da besos co… https://t.co/zb7zADWJTj",298,34,332
