Tweet ID,Text,Likes,Retweets,Total Interactions
1275271985275289601,"Se me callan porque ayer yo pensaba que se iba a acabar el mundo y eso no pasó, lo cual me parece una irresponsabil… https://t.co/F0LuqgWXCd",1260,356,1616
1275271998751506432,Esta historia fue publicada en diciembre de 1844 con el nombre de “La Reina de las Nieves” por el autor danés Hans… https://t.co/tuRsCQXuWJ,117,12,129
1275272025922326529,"Aunque Disney afirma que Frozen está basada en La Reina de las Nieves, la verdad es que creo que solo tomaron de es… https://t.co/5vFyhlGiSR",162,7,169
1275272041701216257,"Bueno, este cuento empieza como todos los cuentos para niños: CON EL DIABLO, creando un espejo maligno que solo era… https://t.co/T5v4TLvdsh",400,18,418
1275272063524184066,"El diablo y sus súbditos estuvieron jodiendo con ese espejo hasta el cansancio, destruyéndole la felicidad y la aut… https://t.co/hwwzMNY2bc",104,7,111
1275272105958019073,"Todos los demonios volaron para subir el espejo, pero esta idea les divertía mucho y mientras más se acercaban al c… https://t.co/SVt0pwJDPA",146,6,152
1275272159632465920,"Como era de esperarse, al espejo le paso como a la señora, y se cayó. Y al caer a la tierra estrelló en miles de mi… https://t.co/xDR6NhXomA",118,7,125
1275272236832866304,"Estos fragmentos entraron en los ojos y los corazones de las personas, haciéndolos fríos crueles. Al inicio de la p… https://t.co/mX5q6hcuNh",89,7,96
1275272339572305920,"Luego la historia nos presenta a dos niños, Gerda y Kay, que eran vecinitos y con el tiempo se hicieron los mejores… https://t.co/Mfa58jbbWl",85,5,90
1275272351232544769,"Una noche durante el invierno, Kay miraba a través de su ventana cuando vio a una hermosa mujer vestida de blanco q… https://t.co/9fFz4rXIAH",303,9,312
1275272408816062464,En la primavera Gerda empieza a enamorarse de Kay y le hace un jardín de rosas en su ventana y le prepara un quesil… https://t.co/Kf9KNBRY3L,102,6,108
1275272420941799424,"A partir de ese momento Kay se convirtió en un imbecil. Empezó a ghostear a Gerda, a reírse de las creencias de su… https://t.co/qyCBeUSlPx",259,12,271
1275272484108017664,"Un día en el invierno, Kay sale con su vaper y su trineo a jugar. Y miren, yo nací y crecí en el trópico así que la… https://t.co/cAzVIeAaDT",119,6,125
1275272497194246144,"Bueno, Kay llega al parque y a lo arrecho amarra su trineo a un gran y misterioso carruaje encava blanco y pasea co… https://t.co/z4KK7hIBGt",144,6,150
1275272507680006144,"Un tercer beso de la Reina habría congelado su corazón y lo habría matado, pero total que la caraja se lo llevó a s… https://t.co/ai7UlmgwfK",148,6,154
1275272519327666177,"Gerda, que estaba enamorada 🤡 no podía resignarse a que Kay estuviese muerto y ya, así que fue al río y le preguntó… https://t.co/DyKhTfWhRx",122,7,129
1275272568702935041,"Pero igual el río se ofrece a ayudarla, entonces Gerda sube a un bote y las aguas se la llevan. Y de esta forma emp… https://t.co/VV9ogvqOFw",116,6,122
1275272591356366849,"Gerda termina en la casa de una vieja hechicera que tenía un jardín con un verano eterno, la vieja además era bien… https://t.co/2recoMcOAq",78,6,84
1275272604702707712,"Al parecer Gerda tenía la memoria y la retentiva de una chicharra y mientras no vio flores, se olvidó completamente… https://t.co/IfuyxzjFIo",112,6,118
1275272616098574336,"Las lágrimas de Gerda despertaron a todas las flores del jardín, y ellas le contaron que mientras estaban enterrada… https://t.co/DwMOKmmslt",141,6,147
1275272626424905730,"Luego, literalmente un pajarito, un cuervo para ser exactos le contó a Gerda que creía haber visto a Kay en el cast… https://t.co/dhd3nFcrwn",142,6,148
1275272638496223233,"Bueno Gerda llega al castillo de la fulana princesa con aquel berrinche de celos y se entera que no está con Kay, s… https://t.co/RNBzM5tr7i",83,6,89
1275272650575753216,"Cuando Gerda, que era más salada que el queso llanero estaba viajando con el carruaje la capturaron una pandilla de… https://t.co/KaqV5zAEU7",98,6,104
1275272669206904833,"Luego un Reno (si, porque al parecer en esta historia toda vaina puede hablar) le dice que el sabe llegar al palaci… https://t.co/Zjk3wp69s4",103,6,109
1275272685422022668,Por fin cuando Gerda y el reno llegan al palacio se dan cuenta que hay un montón de copos de nieves trancando la en… https://t.co/9qjQbp8u9d,110,6,116
1275275763969855489,Gerda entra al castillo y encuentra a Kay solo y casi congelado en un pozo donde el está tratando de deletrear la p… https://t.co/ro3Kc4OOBx,127,6,133
1275275779740483585,A Gerda los protocolos de esta secta piramidal le supo a mierda. Corrió  a besar a Kay y lo salva con el poder de s… https://t.co/vIS8yTtDcs,95,6,101
1275275792826728448,De esta forma Kay recuerda a Gerda y deja de ser un patán y se van del castillo sin ningún problema porque la Reina… https://t.co/cm1hmZTZIr,113,6,119
1275275814188310528,Fun fact: en los primeros drafts de Frozen Elsa sí iba a ser una villana pero luego de escribir “let it go” les par… https://t.co/OY0uUhyJa1,150,10,160
1275275835059077120,Y recuerden niñitos no caigan en estafas piramidales no sean conejos :) FIN https://t.co/eGVssL64B9,270,18,288
