Tweet ID,Text,Likes,Retweets,Total Interactions
1269050593961742337,"Bueno, se me callan que voy a contar la verdadera historia de La Sirenita y terminar de arruinarle la infancia a Da… https://t.co/L8t7J2peid",2725,870,3595
1269050639398699008,"Como seguramente ya saben la historia de Disney esta basada en el cuento del autor danés Hans Christian Andersen, f… https://t.co/2DPFwokmxP",226,19,245
1269050650291318786,"La Sirenita fue escrita en 1837, y en ese entonces las historias para niños tenían un objetivo muy diferente al que… https://t.co/or7BIZ6kCO",223,13,236
1269050664593883137,"Ok, en la historia de Andersen la sirenita tiene 10 años y 5 hermanas mayores. Cada año cuando una de las hijas del… https://t.co/f4ltPB1TpN",229,14,243
1269050688719503360,Bueno todos los años La Sirenita tenía que calarse los chismes de todas las maravillosas cosas que vieron sus herma… https://t.co/QRMbrdhl1q,214,14,228
1269050704653664258,"Cuando al fin La Sirenita cumple 15 años se le permite hacer su primer viaje a la superficie, aquí más o menos es d… https://t.co/ksFe8MchOy",182,16,198
1269050723070889984,"En ese barco iba el principe del que la Sirenita se enamora a primera vista 🤡, y como vieron en la adaptación de Di… https://t.co/EICfkSJNaD",241,17,258
1269050756822446080,"Ajá la Sirenita como estaba súper enamoradisima del principe desde los últimos 20 minutos; va, lo salva de ahogarse… https://t.co/rdcbNTF2uq",275,19,294
1269050775218634753,"Hasta aquí estamos más o menos igual que Disney, luego de esto La Sirenita regresa a su hogar bajo el mar y se encu… https://t.co/WJQVzX70HU",194,15,209
1269050798685773824,"Ella le cuenta que a diferencia de las sirenas, que viven 300 años y al morir se convierten en espuma del mar, los… https://t.co/sywnRZ7Pca",240,15,255
1269050811272830976,Así que fue derechito a donde la bruja del mar a suplicarle que la hiciera humana porque se había enamorado de un p… https://t.co/2uY8bZukho,382,32,414
1269050824686284807,"Entonces la bruja le dice que a cambio de su voz le daría un par de piernas para convertirse en humana :) pero, PER… https://t.co/QT3KNPptuD",203,14,217
1269050837277556736,"Además, si no lograba que el principe se casará con ella, moriría y se convertiría en espuma del mar, a la Sirenita… https://t.co/KmrMosc1NL",256,17,273
1269050849474621445,De este modo La Sirenita se convierte en humana y sube a la superficie. Donde la consigue el principe y queda encan… https://t.co/1P4yxEYmtR,240,17,257
1269050863127015425,"En el castillo el principe y la Sirenita pasan mucho tiempo juntos y el principe cada día se encariña más con ella,… https://t.co/HDrczDcQdh",193,12,205
1269050876162969602,"Por otro lado el padre del principe insistía que debía casarse con la princesa del reino vecino, el no quería pero… https://t.co/feQZi1zHoR",184,14,198
1269050889161060353,"Bueno, los carajos se enamoran y se comprometen, y la pobre sirenita quedo como la guayabera. Una noche la Sirenita… https://t.co/eG4PZUOsTg",179,13,192
1269050904008892426,"Ellas le explican que es una daga mágica que les dio la bruja a cambio de sus cabelleras, esta daga le permitiría v… https://t.co/YshKUUhQRo",195,14,209
1269050917812387840,El día de la boda la Sirenita es una de las invitadas y de hecho ayuda a cargar la cola del vestido de la novia 🤡 c… https://t.co/8o7RfmMRY4,320,20,340
1269050933532557312,"Pero llegado el momento la Sirenita se dio cuenta que amaba demasiado al principe como para asesinarlo, así que se… https://t.co/2fqC8HKwFk",185,13,198
1269050938699976708,"But wait, there’s more! Algo curioso pasó, los restos de la sirenita se elevaron, porque las hijas del aire la adop… https://t.co/GWlb3xqrvI",202,15,217
1269050952373415938,"Nada de esto habría pasado si la Sirenita le hubiese hecho caso a la bruja, en fin, nunca cambien por un hombre niñ… https://t.co/QhxygSiTox",801,51,852
