Tweet ID,Text,Likes,Retweets,Total Interactions
1277087424498274306,"Este, se me callan porque yo no casi tuve que sacar un postgrado para hacer este hilo para que ustedes sigan con la… https://t.co/qhbj2MyzTs",2161,591,2752
1277087436158500865,"Ok, a diferencia de todas las historias que he contado hasta ahora, esta no es un cuento de hadas como tal que un s… https://t.co/jI4CRhAAcn",121,10,131
1277087471759695872,"Esa persona real fue la primera hija del jefe de la tribu Nativo-Americana “Powhatan” y su nombre era Matoaka, que… https://t.co/eaehcNci27",252,18,270
1277087485231841280,La princesa Matoaka nació alrededor del año 1595 y durante los años 1600 ( parapam pam Pam 🎺) específicamente en el… https://t.co/WtvJA3JMxh,156,13,169
1277087500079632385,"Como ustedes seguramente saben, los británicos se establecieron en Norte America con sus familias, no mandaron a un… https://t.co/5rSC1Nulby",266,19,285
1277087528303067138,Por eso este encuentro entre dos mundos no fue tan a coñazo limpio como aquí.  El contacto entre la tribu de Pocaho… https://t.co/3HpcKK1g76,147,12,159
1277087545667567621,"Bueno, otro personaje que también existió fue el almirante y explorador John Smith, que a diferencia del catire bel… https://t.co/0chCLAuosI",118,11,129
1277087551162064898,"Este carajo según cuentan llega a Virginia en barco con un grupo de como 100 hombres, aquí más o menos empieza la p… https://t.co/Q5JR6T32Zd",170,13,183
1277087563870846982,"Ajá, un día mientras John Smith estaba explorando en las tierras de la familia de Pocahontas, fue capturado por la… https://t.co/fyyHI2VSGq",139,8,147
1277087579536490496,"Según las crónicas de John Smith fue recibido por la tribu con un gran festín donde habló con el jefe, todo chevere… https://t.co/jwfE99jLdU",111,8,119
1277087592224370688,"Pero, PERO. Muchas evidencias apuntan que John Smith era un: Mojonero. Porque Primero, la casi ejecución que el rel… https://t.co/UIBeZlN5Wu",135,9,144
1277087623773925376,Entonces o John Smith no entendió una mierda del ritual o se quiso hacer la Vistima. En segundo lugar Pocahontas no… https://t.co/oMKFCFapAz,155,11,166
1277087634834231296,Y Obviamente nunca hubo un romance entre John Smith y Pocahontas porque tenía 👏🏻 doce 👏🏻 años 👏🏻. Posiblemente John… https://t.co/gF9CtuU2Ad,203,11,214
1277087642694361088,Esto no significa que a Matoaka la dejaran tranquila. Como hija del jefe a la pobre la usaban como amuleto de paz y… https://t.co/PuIH1yOnYL,143,10,153
1277087657617698820,Pasaron los años y las relaciones entre los británicos y los Powhatan cada vez se parecían más a una reunión famili… https://t.co/3mVaZeT1EH,146,10,156
1277087669655351296,El padre de Pocahontas cómo amaba a su hija hizo todo lo que los secuestradores pidieron para liberarla pero como n… https://t.co/6VVzsQEB5s,140,9,149
1277087699132874753,"Mientras estuvo prisionera un viejo verde se enamoró ¹ de ella y tras aceptar casarse con el, la liberaron. Aquí ob… https://t.co/xVLCMhqGpO",174,16,190
1277088142084976640,El matrimonio entre Pocahontas y el viejo verde (John Rolfe) fue el primer matrimonio registrado entre un británico… https://t.co/8IKxJhviYm,175,17,192
1277088257021526016,"Al parecer en Inglaterra Pocahontas si se encontró de nuevo con John Smith, pero esa mujer se paró de la mesa y le… https://t.co/ghCD8oGFJZ",129,11,140
1277088274855735297,"En el año 1617 cuando Ella tenía 21. La familia Rolfe, John, Pocahontas y el hijo de ellos, tomaron  un barco de re… https://t.co/BEQ6oi70oX",131,10,141
1277088288776638464,"Y así termina la corta vida de Pocahontas, honestamente me entristece un poco porque no es solo un cuento de hadas… https://t.co/RzxXgePU6f",440,22,462
